protocol,payload_profile,stage_concurrency,vus,samples,latency_avg_mean_ms,latency_avg_median_ms,latency_avg_stdev_ms,latency_p95_mean_ms,latency_p95_median_ms,latency_p95_stdev_ms,throughput_mean_rps,throughput_median_rps,throughput_stdev_rps,total_failure_mean_pct,total_failure_median_pct,total_failure_stdev_pct,slow_failure_mean_pct,slow_failure_median_pct,slow_failure_stdev_pct,cpu_avg_mean_pct,cpu_avg_median_pct,cpu_avg_stdev_pct,cpu_peak_mean_pct,cpu_peak_median_pct,cpu_peak_stdev_pct,mem_used_mean_mb,mem_used_median_mb,mem_used_stdev_mb
GRPC,heavy,50,200,1,337.4,337.4,,362.5,362.5,,618.12,618.12,,0.0,0.0,,0.0,0.0,,118.87,118.87,,166.01,166.01,,3728.0,3728.0,
GRPC,heavy,50,400,1,519.64,519.64,,643.34,643.34,,802.35,802.35,,0.14,0.14,,0.14,0.14,,158.46,158.46,,208.54,208.54,,3821.0,3821.0,
GRPC,heavy,50,800,1,959.51,959.51,,1150.0,1150.0,,864.12,864.12,,31.9,31.9,,31.9,31.9,,168.9,168.9,,184.65,184.65,,4122.0,4122.0,
GRPC,heavy,100,200,1,373.18,373.18,,412.29,412.29,,558.99,558.99,,0.0,0.0,,0.0,0.0,,103.58,103.58,,150.78,150.78,,3740.0,3740.0,
GRPC,heavy,100,400,1,571.38,571.38,,629.97,629.97,,731.11,731.11,,0.1,0.1,,0.1,0.1,,137.37,137.37,,189.22,189.22,,3803.0,3803.0,
GRPC,heavy,100,800,1,984.92,984.92,,1100.0,1100.0,,844.68,844.68,,39.08,39.08,,39.08,39.08,,161.62,161.62,,183.73,183.73,,4121.0,4121.0,
GRPC,heavy,150,200,1,380.3,380.3,,427.4,427.4,,548.64,548.64,,0.0,0.0,,0.0,0.0,,105.08,105.08,,149.48,149.48,,3766.0,3766.0,
GRPC,heavy,150,400,1,583.92,583.92,,659.89,659.89,,716.27,716.27,,0.09,0.09,,0.09,0.09,,135.35,135.35,,183.95,183.95,,3818.0,3818.0,
GRPC,heavy,150,800,1,1000.0,1000.0,,1190.0,1190.0,,828.7,828.7,,45.39,45.39,,45.39,45.39,,160.56,160.56,,195.3,195.3,,4171.0,4171.0,
GRPC,small,50,100,3,210.0,209.96,0.36,219.67,218.91,2.53,501.18,501.35,1.19,0.0,0.0,0.0,0.0,0.0,0.0,65.04,65.01,0.4,109.93,108.4,9.74,3597.67,3596.0,21.55
GRPC,small,50,200,4,222.14,221.92,1.55,240.29,239.69,1.7,944.51,944.63,5.51,0.0,0.0,0.0,0.0,0.0,0.0,97.17,97.05,1.88,137.01,136.87,20.68,3640.25,3590.5,104.56
GRPC,small,50,400,4,402.18,402.21,0.37,408.52,408.55,0.4,1041.65,1044.76,7.64,0.0,0.0,0.0,0.0,0.0,0.0,112.5,112.28,2.89,145.09,127.05,37.65,3673.25,3631.5,89.47
GRPC,small,50,800,4,801.1,801.31,0.65,813.37,813.32,1.43,1040.57,1043.85,6.89,0.0,0.0,0.0,0.0,0.0,0.0,111.33,111.83,2.11,145.54,146.71,11.38,3767.75,3724.5,95.02
GRPC,small,50,1000,3,999.09,1000.0,1.57,1010.0,1010.0,0.0,1041.98,1042.11,0.34,81.7,80.71,2.66,81.7,80.71,2.66,109.96,109.45,2.48,151.71,146.94,8.7,3778.67,3773.0,9.81
GRPC,small,100,100,3,210.78,210.3,1.35,220.64,219.12,3.63,501.8,503.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,63.65,1.81,117.36,116.52,9.04,3614.67,3624.0,16.17
GRPC,small,100,200,4,224.55,225.33,2.82,248.38,246.44,10.63,938.33,938.92,4.76,0.0,0.0,0.0,0.0,0.0,0.0,93.15,91.78,3.86,138.77,147.56,21.01,3671.5,3627.0,90.34
GRPC,small,100,400,4,279.94,280.12,2.07,309.31,310.63,2.92,1503.9,1501.92,13.01,0.0,0.0,0.0,0.0,0.0,0.0,133.34,132.65,2.37,171.63,157.35,34.47,3712.25,3668.5,103.22
GRPC,small,100,800,4,507.69,507.81,5.51,568.34,569.3,5.01,1631.01,1631.82,8.26,0.0,0.0,0.0,0.0,0.0,0.0,143.68,142.93,1.77,165.86,166.48,6.55,3808.25,3774.5,77.71
GRPC,small,100,1000,3,637.05,632.17,10.57,727.58,733.87,16.85,1596.61,1597.85,2.61,0.0,0.0,0.0,0.0,0.0,0.0,143.03,142.98,0.27,168.48,171.32,6.09,3800.0,3798.0,10.15
GRPC,small,150,200,1,225.37,225.37,,252.97,252.97,,923.73,923.73,,0.0,0.0,,0.0,0.0,,95.36,95.36,,137.5,137.5,,3741.0,3741.0,
GRPC,small,150,400,1,284.96,284.96,,320.85,320.85,,1460.86,1460.86,,0.0,0.0,,0.0,0.0,,134.98,134.98,,235.48,235.48,,3785.0,3785.0,
GRPC,small,150,800,1,507.09,507.09,,567.8,567.8,,1617.5,1617.5,,0.0,0.0,,0.0,0.0,,146.56,146.56,,181.1,181.1,,3885.0,3885.0,
GRPC,small,10000,100,3,208.48,208.04,1.01,216.69,215.54,2.5,481.86,482.62,2.44,0.0,0.0,0.0,0.0,0.0,0.0,65.26,66.42,2.04,117.85,125.43,16.84,3548.33,3539.0,26.27
GRPC,small,10000,200,4,218.97,217.53,4.09,234.54,232.44,7.86,923.57,925.23,5.17,0.0,0.0,0.0,0.0,0.0,0.0,96.06,96.22,3.22,155.0,154.14,4.81,3618.5,3579.0,95.95
GRPC,small,10000,400,4,281.62,277.37,10.09,316.88,310.66,18.21,1433.29,1438.67,19.43,0.0,0.0,0.0,0.0,0.0,0.0,128.47,127.85,2.11,174.77,159.06,40.42,3656.0,3610.5,93.36
GRPC,small,10000,800,4,499.37,493.08,16.79,575.07,567.25,22.48,1602.07,1605.53,19.1,0.0,0.0,0.0,0.0,0.0,0.0,144.46,144.95,2.85,205.24,206.19,38.15,3724.5,3686.5,110.81
GRPC,small,10000,1000,3,608.08,608.91,4.17,706.79,706.47,7.8,1604.46,1605.55,2.48,0.0,0.0,0.0,0.0,0.0,0.0,149.91,149.87,0.74,225.58,225.41,5.03,3749.0,3745.0,9.64
RABBIT,heavy,100,200,1,206.59,206.59,,215.45,215.45,,998.28,998.28,,0.0,0.0,,0.0,0.0,,171.06,171.06,,351.91,351.91,,3896.0,3896.0,
RABBIT,heavy,100,400,1,213.72,213.72,,226.23,226.23,,1927.59,1927.59,,0.0,0.0,,0.0,0.0,,316.86,316.86,,495.46,495.46,,3973.0,3973.0,
RABBIT,heavy,100,800,1,409.99,409.99,,431.39,431.39,,1991.24,1991.24,,0.0,0.0,,0.0,0.0,,366.54,366.54,,548.08,548.08,,4038.0,4038.0,
RABBIT,heavy,150,200,1,206.67,206.67,,215.04,215.04,,998.86,998.86,,0.0,0.0,,0.0,0.0,,168.24,168.24,,359.38,359.38,,3854.0,3854.0,
RABBIT,heavy,150,400,1,209.46,209.46,,220.89,220.89,,1969.99,1969.99,,0.0,0.0,,0.0,0.0,,329.16,329.16,,474.8,474.8,,3963.0,3963.0,
RABBIT,heavy,150,800,1,288.52,288.52,,314.15,314.15,,2847.33,2847.33,,0.04,0.04,,0.04,0.04,,484.82,484.82,,635.77,635.77,,4064.0,4064.0,
RABBIT,heavy,10000,200,1,206.69,206.69,,215.47,215.47,,1000.08,1000.08,,0.0,0.0,,0.0,0.0,,168.76,168.76,,339.18,339.18,,4191.0,4191.0,
RABBIT,heavy,10000,400,1,210.5,210.5,,223.46,223.46,,1961.68,1961.68,,0.0,0.0,,0.0,0.0,,325.5,325.5,,488.25,488.25,,4287.0,4287.0,
RABBIT,heavy,10000,800,1,269.71,269.71,,307.69,307.69,,3052.08,3052.08,,0.06,0.06,,0.06,0.06,,482.71,482.71,,634.65,634.65,,4527.0,4527.0,
RABBIT,small,50,100,3,208.89,208.77,0.27,242.24,243.35,2.99,497.95,498.18,0.48,0.0,0.0,0.0,0.0,0.0,0.0,65.92,65.49,1.57,196.45,198.08,3.49,3536.0,3541.0,10.44
RABBIT,small,50,200,4,211.87,212.05,0.44,255.96,257.0,2.27,977.8,980.2,8.19,0.0,0.0,0.0,0.0,0.0,0.0,81.91,76.78,10.9,239.72,214.0,51.84,3605.25,3559.5,101.58
RABBIT,small,50,400,4,402.84,402.92,0.36,415.91,415.88,0.21,1020.11,1023.17,7.69,0.0,0.0,0.0,0.0,0.0,0.0,77.79,79.12,3.09,216.96,217.86,3.72,3656.75,3627.0,87.94
RABBIT,small,50,800,4,792.91,792.88,1.14,830.69,830.92,0.9,1019.21,1022.32,7.11,0.01,0.01,0.01,0.01,0.01,0.01,78.63,79.68,6.41,217.62,217.42,6.23,3697.0,3651.0,97.41
RABBIT,small,50,1000,3,985.36,984.69,1.46,1046.67,1040.0,11.55,1021.44,1022.11,1.85,94.45,94.45,0.03,94.45,94.45,0.03,81.7,85.77,8.17,215.27,214.79,8.98,3689.33,3690.0,4.04
RABBIT,small,100,100,3,208.53,208.52,0.13,240.61,240.7,2.46,501.17,501.23,0.58,0.0,0.0,0.0,0.0,0.0,0.0,62.33,63.34,2.05,196.62,197.2,2.11,3538.33,3528.0,18.77
RABBIT,small,100,200,4,205.9,205.9,0.16,220.97,221.01,0.67,1010.24,1014.88,9.37,0.0,0.0,0.0,0.0,0.0,0.0,94.51,93.19,7.08,230.24,229.51,2.98,3655.5,3630.0,87.88
RABBIT,small,100,400,4,210.21,210.3,0.4,225.06,224.42,2.17,1978.68,1985.38,15.55,0.0,0.0,0.0,0.0,0.0,0.0,130.05,130.12,4.45,266.66,265.91,4.45,3746.0,3715.5,88.67
RABBIT,small,100,800,4,401.96,402.04,0.65,415.9,416.15,0.84,2048.38,2055.11,15.54,0.0,0.0,0.0,0.0,0.0,0.0,126.01,125.16,4.79,271.77,272.84,4.82,3808.25,3769.0,90.32
RABBIT,small,100,1000,3,500.94,500.79,0.43,519.8,519.71,0.91,2055.16,2054.11,1.98,0.0,0.0,0.0,0.0,0.0,0.0,120.78,121.46,1.45,263.63,266.54,5.85,3756.0,3758.0,4.36
